Block,Measurement,FrogID,MeasurementID,BoutID,Experiment,AccTemp,AccInc,PerfTemp,PerfInc,Breaths,AvgMass(g),minTime(ms),maxTime(ms),totalTime(s),totalTime(min),BreathsPerMin,O2Measure(mLO2/mLAir)(sec),AvgFlowRate(SCCMAir/min),CorrectedFlowRate(mLAir/min),AvgAirDensity(gAir/mLair),WeightPerc(gO2/gAir),VolPerc(mLO2/mLAir),O2Consumed(mgO2),mgO2ConsPerBreath,negTotalFlow(mLAir/Min)(sec),posTotalFlow(mLAir/Min)(sec),totBreathVolSCCM(mLAir/Min)(sec),BreathVolCorrected(mLAir/Min)(sec),mLAirPerBreath
3,ZeroOne,Laevis22,B3ZeroDayPT1L22,B3ZeroDayPT1L22_5090s,B,8,9,11,7,3,18.775,5078947,5111036,32.089,0.534816667,5.609398859,0.013664667,171.8348,183.9391183,0.00111,0.2314,0.2095,0.051359904,0.017119968,27.92942875,24.24565411,52.17508286,55.8503792,0.310279884
3,ZeroOne,Laevis22,B3ZeroDayPT1L22,B3ZeroDayPT1L22_5300s,B,8,9,11,7,17,18.775,5236093,5358811,122.718,2.0453,8.311739109,0.048593298,171.6248,183.7143256,0.00111,0.2314,0.2095,0.182419162,0.010730539,139.7704762,152.2858035,292.0562797,312.6291915,0.306499207
3,ZeroOne,Laevis23,B3ZeroDayPT1L23,B3ZeroDayPT1L23_7000s,B,17,8,20,4,3,31.31,6998402,7016559,18.157,0.302616667,9.913531971,0.008708951,191.6875,205.1902743,0.00111,0.2314,0.2095,0.0365152,0.012171733,32.684831,19.84014597,52.52497697,56.22492041,0.312360669
3,ZeroOne,Laevis23,B3ZeroDayPT1L23,B3ZeroDayPT1L23_7110s,B,17,8,20,4,12,31.31,7099227,7125803,26.576,0.442933333,27.09211318,0.004906962,192.6437,206.2138306,0.00111,0.2314,0.2095,0.020676717,0.00172306,62.64469135,50.49491135,113.1396027,121.1093374,0.168207413
3,ZeroOne,Laevis23,B3ZeroDayPT1L23,B3ZeroDayPT1L23_9330s,B,17,8,20,4,6,31.31,9319062,9349961,30.899,0.514983333,11.65086249,0.024122034,193.3752,206.9968586,0.00111,0.2314,0.2095,0.102030201,0.017005034,34.5516707,45.96009942,80.51177012,86.18314807,0.239397634
3,ZeroTwo,Laevis02,B3ZeroDayPT2L02,B3ZeroDayPT2L02_19250s,B,26,7,8,9,3,44.56,19228579,19271371,42.792,0.7132,4.206393718,0.022423418,198.7394,212.7389214,0.00111,0.2314,0.2095,0.097476476,0.032492159,40.6903082,42.84637439,83.53668259,89.42114022,0.496784112
3,ZeroTwo,Laevis02,B3ZeroDayPT2L02,B3ZeroDayPT2L02_19370s,B,26,7,8,9,3,44.56,19348729,19390937,42.208,0.703466667,4.26459439,0.002506491,198.0594,212.0110211,0.00111,0.2314,0.2095,0.010858644,0.003619548,77.58667877,48.04888441,125.6355632,134.4855333,0.747141852
3,ZeroTwo,Laevis02,B3ZeroDayPT2L02,B3ZeroDayPT2L02_23900s,B,26,7,8,9,6,44.56,23898982,23931043,32.061,0.53435,11.22859549,0.048956548,194.8666,208.5933152,0.00111,0.2314,0.2095,0.208671063,0.034778511,57.15958526,51.16666618,108.3262514,115.956926,0.322102572
3,ZeroTwo,Laevis03,B3ZeroDayPT2L03,B3ZeroDayPT2L03_20300s,B,8,11,29,2,3,31.81,20269793,20342353,72.56,1.209333333,2.480705623,0.009165187,227.4821,243.5063032,0.00111,0.2314,0.2095,0.045603964,0.015201321,33.60379324,10.37096429,43.97475753,47.07240983,0.261513388
3,ZeroTwo,Laevis03,B3ZeroDayPT2L03,B3ZeroDayPT2L03_20800s,B,8,11,29,2,5,31.81,20778376,20831709,53.333,0.888883333,5.625035156,0.045093165,226.2941,242.2346186,0.00111,0.2314,0.2095,0.223201952,0.04464039,64.52539617,41.60428967,106.1296858,113.6056308,0.378685436
3,ZeroTwo,Laevis04,B3ZeroDayPT2L04,B3ZeroDayPT2L04_6700s,B,26,7,26,6,51,50.59,6668305,6721482,53.177,0.886283333,57.5436749,0.03019269,182.093,194.9199224,0.00111,0.2314,0.2095,0.120256646,0.002357973,510.5611316,487.9685784,998.52971,1068.867741,0.349303183
3,ZeroTwo,Laevis04,B3ZeroDayPT2L04,B3ZeroDayPT2L04_8400s,B,26,7,26,6,31,50.59,8294498,8455028,160.53,2.6755,11.58661932,0.201004901,180.0743,192.7590219,0.00111,0.2314,0.2095,0.791721459,0.025539402,487.8287869,476.8284123,964.6571992,1032.609196,0.555166235
3,ZeroTwo,Laevis04,B3ZeroDayPT2L04,B3ZeroDayPT2L04_9760s,B,26,7,26,6,18,50.59,9696978,9788294,91.316,1.521933333,11.82706207,0.180822861,179.4631,192.104768,0.00111,0.2314,0.2095,0.709810689,0.039433927,328.0474449,287.6553819,615.7028268,659.0739194,0.610253629
3,ZeroTwo,Laevis11,B3ZeroDayPT2L11,B3ZeroDayPT2L11_5370s,B,17,8,17,3,5,29.075,5358631,5401332,42.701,0.711683333,7.02559659,0.032075686,194.7013,208.4163712,0.00111,0.2314,0.2095,0.136602562,0.027320512,32.76166396,29.75749956,62.51916352,66.92311346,0.223077045
3,ZeroTwo,Laevis11,B3ZeroDayPT2L11,B3ZeroDayPT2L11_5500s,B,17,8,17,3,3,29.075,5497911,5561920,64.009,1.066816667,2.812104548,0.031171993,194.7996,208.5215956,0.00111,0.2314,0.2095,0.132820976,0.044273659,19.46361102,27.78047102,47.24408204,50.57203079,0.280955727
3,ZeroTwo,Laevis11,B3ZeroDayPT2L11,B3ZeroDayPT2L11_7150s,B,17,8,17,3,3,29.075,7138948,7171043,32.095,0.534916667,5.60835021,0.017188334,195.9282,209.729696,0.00111,0.2314,0.2095,0.073662212,0.024554071,12.1268742,21.5697742,33.6966484,36.07029424,0.200390524
3,ZeroTwo,Laevis19,B3ZeroDayPT2L19,B3ZeroDayPT2L19_20105s,B,8,11,26,12,8,15.95,20103491,20151540,48.049,0.800816667,9.989802077,0.043148452,198.2858,212.2533691,0.00111,0.2314,0.2095,0.18714183,0.023392729,47.32086283,47.59568708,94.91654991,101.6026236,0.211672132
3,ZeroTwo,Laevis19,B3ZeroDayPT2L19,B3ZeroDayPT2L19_20860s,B,8,11,26,12,3,15.95,20838708,20881363,42.655,0.710916667,4.21990388,0.023515044,197.3628,211.2653515,0.00111,0.2314,0.2095,0.10151381,0.033837937,26.28570202,20.55483843,46.84054045,50.14006309,0.278555906
3,ZeroTwo,Laevis19,B3ZeroDayPT2L19,B3ZeroDayPT2L19_22020s,B,8,11,26,12,2,15.95,21998755,22038313,39.558,0.6593,3.0335204,0.010266575,196.6679,210.5215016,0.00111,0.2314,0.2095,0.044164478,0.022082239,25.51949865,16.77104865,42.2905473,45.26956115,0.377246343
3,ZeroTwo,Laevis21,B3ZeroDayPT2L21,B3ZeroDayPT2L21_20550s,B,26,12,14,4,3,22.35,20498206,20551843,53.637,0.89395,3.355892388,0.025932513,182.6628,195.52986,0.00111,0.2314,0.2095,0.103611689,0.03453723,41.82868551,26.99929657,68.82798208,73.6763353,0.409312974
3,ZeroTwo,Laevis21,B3ZeroDayPT2L21,B3ZeroDayPT2L21_21215s,B,26,12,14,4,11,22.35,21203979,21234068,30.089,0.501483333,21.93492639,0.028222047,184.1458,197.1173249,0.00111,0.2314,0.2095,0.113674843,0.010334077,31.44237568,47.18575266,78.62812834,84.16681954,0.127525484
3,ZeroTwo,Laevis21,B3ZeroDayPT2L21,B3ZeroDayPT2L21_23100s,B,26,12,14,4,4,22.35,23091499,23113033,21.534,0.3589,11.14516578,0.011547136,182.5555,195.4150016,0.00111,0.2314,0.2095,0.046108738,0.011527185,19.93750228,25.6240062,45.56150848,48.77093406,0.203212225
3,ZeroTwo,Laevis23,B3ZeroDayPT2L23,B3ZeroDayPT2L23_6750s,B,17,8,14,7,44,31.31,6674877,6836377,161.5,2.691666667,16.34674923,0.237915704,182.6023,195.4650983,0.00111,0.2314,0.2095,0.950262054,0.021596865,542.1958297,506.3971573,1048.592987,1122.457555,0.425173316
3,ZeroTwo,Laevis23,B3ZeroDayPT2L23,B3ZeroDayPT2L23_8150s,B,17,8,14,7,87,31.31,7989212,8310492,321.28,5.354666667,16.24750996,0.186336066,181.1787,193.9412176,0.00111,0.2314,0.2095,0.738444902,0.008487872,1055.02566,996.6241267,2051.649787,2196.171281,0.420722468
